epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,4476.68,0.86025,0.66488,0.00785,0.68576,0.87174,0.835,0.64212,0.88476,0.59663,0.01282,0.00026422,0.00026422,0.00026422
87,4528.72,0.85186,0.66627,0.00779,0.69712,0.85819,0.84041,0.64459,0.88913,0.60728,0.01293,0.000247716,0.000247716,0.000247716
88,4580.81,0.83744,0.67166,0.00764,0.71374,0.83725,0.84047,0.64611,0.88119,0.61061,0.01282,0.000231213,0.000231213,0.000231213
89,4632.75,0.84415,0.65061,0.00772,0.69642,0.86176,0.84218,0.6504,0.87846,0.59536,0.01273,0.00021471,0.00021471,0.00021471
90,4684.81,0.83853,0.64808,0.00767,0.72022,0.84366,0.84592,0.65016,0.87517,0.59193,0.0127,0.000198206,0.000198206,0.000198206
91,4737.5,0.75468,0.51958,0.00887,0.71802,0.84005,0.84546,0.64654,0.89476,0.59474,0.01296,0.000181703,0.000181703,0.000181703
92,4788.96,0.73433,0.50167,0.00852,0.71559,0.83235,0.84189,0.64681,0.89186,0.60788,0.01291,0.0001652,0.0001652,0.0001652
93,4840.42,0.73398,0.50228,0.0084,0.72784,0.82875,0.84839,0.65318,0.88701,0.602,0.01276,0.000148696,0.000148696,0.000148696
94,4891.99,0.72936,0.49316,0.0083,0.71505,0.83692,0.83942,0.64608,0.88735,0.61435,0.01282,0.000132193,0.000132193,0.000132193
95,4943.59,0.71965,0.48886,0.00832,0.72297,0.82814,0.84187,0.64936,0.88171,0.60897,0.01266,0.00011569,0.00011569,0.00011569
96,4994.99,0.7129,0.49237,0.00818,0.72098,0.8277,0.84066,0.64733,0.87953,0.61493,0.01268,9.91865e-05,9.91865e-05,9.91865e-05
97,5046.51,0.71063,0.48727,0.00821,0.71751,0.8322,0.83725,0.64487,0.87913,0.62761,0.01268,8.26832e-05,8.26832e-05,8.26832e-05
98,5098.12,0.71408,0.48329,0.00824,0.70434,0.85212,0.83868,0.64609,0.87938,0.62593,0.01264,6.61799e-05,6.61799e-05,6.61799e-05
99,5149.54,0.71236,0.47791,0.00817,0.69756,0.85483,0.83606,0.64426,0.8807,0.62973,0.01262,4.96766e-05,4.96766e-05,4.96766e-05
100,5201.13,0.70133,0.48077,0.00811,0.71577,0.83396,0.8385,0.64716,0.87849,0.62877,0.01261,3.31733e-05,3.31733e-05,3.31733e-05
